idVia;nombreOriginal;numeroExpediente;fecha;hora;nombreVia;portal;distrito;tipoAccidente;meteorologia;tipoVehiculo;tipoPersonaAfectada;typicalAgeRange;gender;lesividad;esCruce;tipoVia;palabrasClave;municipio
342950;CALL. GRAN VIA / CALL. SAN BERNARDO;2019S003283;11/01/2019;16:00;CALLE GRAN VIA;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;25-29;Male;14;2;Calle;GRAN VIA;Madrid
661700;CALL. GRAN VIA / CALL. SAN BERNARDO;2019S003283;11/01/2019;16:00;CALLE SAN BERNARDO;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;25-29;Male;14;2;Calle;SAN BERNARDO;Madrid
-1;POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;POLIGONO ALUCHE;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;25-29;Male;06;3;Poligono;ALUCHE;Madrid
600400;POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;AVENIDA DE LOS POBLADOS;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;25-29;Male;06;3;Avenida;POBLADOS;Madrid
1705;POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;CALLE SECOYA;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;25-29;Male;06;3;Calle;SECOYA;Madrid
332700;CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;2019S006584;12/01/2019;22:25;CALLE GENERAL RICARDOS;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;18-20;Male;07;2;Calle;GENERAL RICARDOS;Madrid
768000;CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;2019S006584;12/01/2019;22:25;GLORIETA VALLE DE ORO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;18-20;Male;07;2;Glorieta;ORO;Madrid
600400;AVDA. POBLADOS / CALL. SECOYA;2019S002591;12/01/2019;22:15;AVENIDA POBLADOS;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;25-29;Male;02;2;Avenida;POBLADOS;Madrid
1705;AVDA. POBLADOS / CALL. SECOYA;2019S002591;12/01/2019;22:15;CALLE SECOYA;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;25-29;Male;02;2;Calle;SECOYA;Madrid
31000474;AVDA. ENSANCHE DE VALLECAS;2019S003364;12/01/2019;13:03; AVENIDA ENSANCHE DE VALLECAS;44;VILLA DE VALLECAS;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;15-17;Female;07;0;Avenida;ENSANCHE VALLECAS;Madrid
689775;CALL. SANCHIDRIAN;2019S002704;12/01/2019;13:00; CALLE SANCHIDRIAN; 13A;LATINA;Alcance;Despejado;Bicicleta;Conductor;45-49;Male;14;0;Calle;SANCHIDRIAN;Madrid
505700;CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;2019S003463;14/01/2019;22:45;CALLE MIGUEL ANGEL;-;CHAMBERÍ;Colisión fronto-lateral;;Bicicleta;Conductor;25-29;Male;;2;Calle;MIGUEL ANGEL;Madrid
331100;CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;2019S003463;14/01/2019;22:45;PASEO GENERAL MARTINEZ CAMPOS;-;CHAMBERÍ;Colisión fronto-lateral;;Bicicleta;Conductor;25-29;Male;;2;Paseo;GENERAL MARTINEZ CAMPOS;Madrid
563700;PASEO. EL PARDO;2019S004134;14/01/2019;20:20; PASEO EL PARDO;37;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;40-44;Male;02;0;Paseo;PARDO;Madrid
695400;CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;2019S003277;14/01/2019;16:30;CALLE SANTA GENOVEVA;-;CIUDAD LINEAL;Colisión lateral;Despejado;Bicicleta;Conductor;50-54;Female;14;2;Calle;SANTA GENOVEVA;Madrid
31001046;CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;2019S003277;14/01/2019;16:30;PLAZA AGUSTIN GONZALEZ;-;CIUDAD LINEAL;Colisión lateral;Despejado;Bicicleta;Conductor;50-54;Female;14;2;Plaza;AGUSTIN GONZALEZ;Madrid
