nombreOriginal;Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;esCruce;tipoVia
CALL. GRAN VIA / CALL. SAN BERNARDO;2019S003283;11/01/2019;16:00;CALLE SAN BERNARDO;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;14;2;Calle
POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;POLIGONO ALUCHE;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;3;Poligono
POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;AVENIDA DE LOS POBLADOS;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;3;Avenida
POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;2019S002594;12/01/2019;22:45;CALLE SECOYA;-;LATINA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;3;Calle
CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;2019S006584;12/01/2019;22:25;CALLE GENERAL RICARDOS;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Calle
CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;2019S006584;12/01/2019;22:25;GLORIETA VALLE DE ORO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;2;Glorieta
AVDA. POBLADOS / CALL. SECOYA;2019S002591;12/01/2019;22:15;AVENIDA POBLADOS;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Avenida
AVDA. POBLADOS / CALL. SECOYA;2019S002591;12/01/2019;22:15;CALLE SECOYA;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;2;Calle
AVDA. ENSANCHE DE VALLECAS;2019S003364;12/01/2019;13:03; AVENIDA ENSANCHE DE VALLECAS;44;VILLA DE VALLECAS;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 15 A 17 AÑOS;Mujer;07;0;Avenida
CALL. SANCHIDRIAN;2019S002704;12/01/2019;13:00; CALLE SANCHIDRIAN; 13A;LATINA;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;14;0;Calle
CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;2019S003463;14/01/2019;22:45;CALLE MIGUEL ANGEL;-;CHAMBERÍ;Colisión fronto-lateral;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;;2;Calle
CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;2019S003463;14/01/2019;22:45;PASEO GENERAL MARTINEZ CAMPOS;-;CHAMBERÍ;Colisión fronto-lateral;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;;2;Paseo
PASEO. EL PARDO;2019S004134;14/01/2019;20:20; PASEO EL PARDO;37;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02;0;Paseo
CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;2019S003277;14/01/2019;16:30;CALLE SANTA GENOVEVA;-;CIUDAD LINEAL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Calle
CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;2019S003277;14/01/2019;16:30;PLAZA AGUSTIN GONZALEZ;-;CIUDAD LINEAL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Plaza
CALL. FLORA;2019S002788;14/01/2019;11:10; CALLE FLORA;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07;0;Calle
PLAZA. CONDE DEL VALLE DE SUCHIL;2019S003749;16/01/2019;15:20; PLAZA CONDE DEL VALLE DE SUCHIL;3;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Mujer;07;0;Plaza
AVDA. DAROCA / CALL. NICOLAS SALMERON;2019S003306;16/01/2019;9:00;AVENIDA DAROCA;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06;2;Avenida
AVDA. DAROCA / CALL. NICOLAS SALMERON;2019S003306;16/01/2019;9:00;CALLE NICOLAS SALMERON;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06;2;Calle
CALL. ARENAL / CALL. DONADOS;2019S004601;17/01/2019;19:50;CALLE ARENAL;-;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle
CALL. ARENAL / CALL. DONADOS;2019S004601;17/01/2019;19:50;CALLE DONADOS;-;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle
CALL. SERRANO;2019S004151;17/01/2019;16:15; CALLE SERRANO;141;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;14;0;Calle
CALL. DOCE DE OCTUBRE;2019S003662;17/01/2019;6:00; CALLE DOCE DE OCTUBRE;26;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02;0;Calle
AVDA. FERMINA SEVILLANO;2019S004271;18/01/2019;18:05; AVENIDA FERMINA SEVILLANO;42;SAN BLAS-CANILLEJAS;Colisión frontal;;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;;0;Avenida
CALL. VILLABLANCA;2019S005101;18/01/2019;13:00; CALLE VILLABLANCA;11;VICÁLVARO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;02;0;Calle
CALL. GENOVA;2019S004769;18/01/2019;7:55; CALLE GENOVA;2;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;0;Calle
PLAZA. INDEPENDENCIA / CALL. ALCALA;2019S004528;19/01/2019;21:10;PLAZA INDEPENDENCIA;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;2;Plaza
PLAZA. INDEPENDENCIA / CALL. ALCALA;2019S004528;19/01/2019;21:10;CALLE ALCALA;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;06;2;Calle
CTRA. EL PARDO A FUENCARRAL;2019S004582;19/01/2019;11:10; CARRETERA EL PARDO A FUENCARRAL;0;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;02;0;Carretera
CALL. SAN ENRIQUE DE OSSO;2019S004939;21/01/2019;16:50; CALLE SAN ENRIQUE DE OSSO;36;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;02;0;Calle
AVDA. ALBUFERA;2019S005062;23/01/2019;15:38; AVENIDA ALBUFERA;149;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;14;0;Avenida
AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;2019S007634;24/01/2019;19:58;AVENIDA ALBUFERA;-;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14;2;Avenida
AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;2019S007634;24/01/2019;19:58;CALLE PUERTO DE CANFRANC;-;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14;2;Calle
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE BRAVO MURILLO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE PENSAMIENTO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE BRAVO MURILLO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;DE 55 A 59 AÑOS;Mujer;07;2;Calle
CALL. BRAVO MURILLO / CALL. PENSAMIENTO;2019S005036;24/01/2019;11:15;CALLE PENSAMIENTO;-;TETUÁN;Atropello a persona;Despejado;Bicicleta;Peatón;DE 55 A 59 AÑOS;Mujer;07;2;Calle
CALLE ALFONSO XI , CALLE ALCALA;2019S005992;25/01/2019;9:12;CALLE ALFONSO XI;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;2;Calle
CALLE ALFONSO XI , CALLE ALCALA;2019S005992;25/01/2019;9:12;CALLE ALCALA;-;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;2;Calle
CALL. GRAN VIA;2019S010907;25/01/2019;4:00; CALLE GRAN VIA;78;CENTRO;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;05;0;Calle
CALL. MARIA DE MOLINA;2019S006032;26/01/2019;21:35; CALLE MARIA DE MOLINA;60;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07;0;Calle
CALL. ALCALA;2019S006501;27/01/2019;16:15; CALLE ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;0;Calle
CALL. ALCALA;2019S006501;27/01/2019;16:15; CALLE ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 25 A 29 AÑOS;Mujer;14;0;Calle
CALL. MENDEZ ALVARO / CALL. TITAN;2019S006478;28/01/2019;18:00;CALLE MENDEZ ALVARO;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle
CALL. MENDEZ ALVARO / CALL. TITAN;2019S006478;28/01/2019;18:00;CALLE TITAN;-;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;2;Calle
PASEO. RECOLETOS;2019S013729;29/01/2019;16:26; PASEO RECOLETOS;23;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02;0;Paseo
