nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud;tipoVia;palabrasClave
Palos de la Frontera;CICLOCALLES; PALOS DE LA FRONTERA;298,75623300200;0,20000000000;20140801;0,29875623300;;PALOS FRONTERA
Cava Alta;CICLOCALLES; CAVA ALTA;193,85804659900;0,20000000000;20140801;0,19385804660;;CAVA ALTA
Pintor Rosales;CICLOCALLES; PINTOR ROSALES;503,99345505900;0,20000000000;20140801;0,50399345506;;PINTOR ROSALES
P? Moret;CICLOCALLES; PLAZA MORET;554,43685686100;0,20000000000;20140801;0,55443685686;Plaza;MORET
P? Moret;CICLOCALLES; PLAZA MORET;425,29511490100;0,20000000000;20140801;0,42529511490;Plaza;MORET
Luisa Fernanda;CICLOCALLES; LUISA FERNANDA;314,36302313900;0,20000000000;20140801;0,31436302314;;LUISA FERNANDA
Felipe IV;CICLOCALLES; FELIPE IV;369,01443931100;0,20000000000;20140801;0,36901443931;;FELIPE IV
MartÝn de los Heros;CICLOCALLES; MARTÍN DE LOS HEROS;1189,53997440000;0,20000000000;20140801;1,18953997440;;MARTÍN HEROS
Pza. Espa±a;CICLOCALLES; PLAZA ESPAÑA;244,32468011400;0,20000000000;20140801;0,24432468011;Plaza;ESPAÑA
Princesa;CICLOCALLES; PRINCESA;1444,15708861000;0,20000000000;20140801;1,44415708861;;PRINCESA
Princesa;CICLOCALLES; PRINCESA;1338,33235540000;0,20000000000;20140801;1,33833235540;;PRINCESA
Quintana;CICLOCALLES; QUINTANA;446,56058226000;0,20000000000;20140801;0,44656058226;;QUINTANA
Serrano Jover;CICLOCALLES; SERRANO JOVER;164,23510849000;0,20000000000;20140801;0,16423510849;;SERRANO JOVER
San Bernardo;CICLOCALLES; SAN BERNARDO;987,32092673200;0,20000000000;20140801;0,98732092673;;SAN BERNARDO
San Bernardo;CICLOCALLES; SAN BERNARDO;988,43260161800;0,20000000000;20140801;0,98843260162;;SAN BERNARDO
Manuela Malasa±a;CICLOCALLES; MANUELA MALASAÑA;319,46922086300;0,20000000000;20140801;0,31946922086;;MANUELA MALASAÑA
Sta. Cruz de Marcenado;CICLOCALLES; SANTA CRUZ DE MARCENADO;711,04956738600;0,20000000000;20140801;0,71104956739;;SANTA CRUZ MARCENADO
Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;222,01697924100;0,20000000000;20140801;0,22201697924;;FRANCISCO ROJAS
Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;230,17675309100;0,20000000000;20140801;0,23017675309;;FRANCISCO ROJAS
MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;133,50477174500;0,20000000000;20140801;0,13350477175;;MEJÍA LEQUERICA
MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;327,44984617400;0,20000000000;20140801;0,32744984617;;MEJÍA LEQUERICA
Fernando VI;CICLOCALLES; FERNANDO VI;290,83343565200;0,20000000000;20140801;0,29083343565;;FERNANDO VI
Bßrbara de Braganza;CICLOCALLES; BÁRBARA DE BRAGANZA;277,19216473200;0,20000000000;20140801;0,27719216473;;BÁRBARA BRAGANZA
Fernado VI;CICLOCALLES; FERNADO VI;69,55349268290;0,20000000000;20140801;0,06955349268;;FERNADO VI
Bßrbara de Braganza;CICLOCALLES; BÁRBARA DE BRAGANZA;271,56289930300;0,20000000000;20140801;0,27156289930;;BÁRBARA BRAGANZA
Prim;CICLOCALLES; PRIM;269,97870488200;0,20000000000;20140801;0,26997870488;;PRIM
Augusto Figueroa;CICLOCALLES; AUGUSTO FIGUEROA;326,15807702100;0,20000000000;20140801;0,32615807702;;AUGUSTO FIGUEROA
Salud;CICLOCALLES; SALUD;217,03230731600;0,20000000000;20140801;0,21703230732;;SALUD
San MartÝn;CICLOCALLES; SAN MARTÍN;134,87476280000;0,20000000000;20140801;0,13487476280;;SAN MARTÍN
Bordadores;CICLOCALLES; BORDADORES;142,35791072900;0,20000000000;20140801;0,14235791073;;BORDADORES
Esparteros;CICLOCALLES; ESPARTEROS;185,20375611100;0,20000000000;20140801;0,18520375611;;ESPARTEROS
Grafal;CICLOCALLES; GRAFAL;128,13869791600;0,20000000000;20140801;0,12813869792;;GRAFAL
Toledo;CICLOCALLES; TOLEDO;688,23131394500;0,20000000000;20140801;0,68823131395;;TOLEDO
Toledo;CICLOCALLES; TOLEDO;692,82339937700;0,20000000000;20140801;0,69282339938;;TOLEDO
Embajadores;CICLOCALLES; EMBAJADORES;440,93005567100;0,20000000000;20140801;0,44093005567;;EMBAJADORES
Embajadores;CICLOCALLES; EMBAJADORES;451,58495333800;0,20000000000;20140801;0,45158495334;;EMBAJADORES
Embajadores;CICLOCALLES; EMBAJADORES;722,47721250300;0,20000000000;20140801;0,72247721250;;EMBAJADORES
MarquÚs de Riscal;CICLOCALLES; MARQUÉS DE RISCAL;267,80661501500;0,20000000000;20140801;0,26780661502;;MARQUÉS RISCAL
Caracas;CICLOCALLES; CARACAS;346,41279707800;0,20000000000;20140801;0,34641279708;;CARACAS
Manuel Cortina;CICLOCALLES; MANUEL CORTINA;228,73377437100;0,20000000000;20140801;0,22873377437;;MANUEL CORTINA
Almagro;CICLOCALLES; ALMAGRO;654,36887478100;0,20000000000;20140801;0,65436887478;;ALMAGRO
Almagro;CICLOCALLES; ALMAGRO;644,07388244600;0,20000000000;20140801;0,64407388245;;ALMAGRO
Hortaleza;CICLOCALLES; HORTALEZA;940,96916987500;0,20000000000;20140801;0,94096916988;;HORTALEZA
Luchana;CICLOCALLES; LUCHANA;480,92489184100;0,20000000000;20140801;0,48092489184;;LUCHANA
Luchana;CICLOCALLES; LUCHANA;488,89959646800;0,20000000000;20140801;0,48889959647;;LUCHANA
