nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud;tipoVia;palabrasClave;idVia
Sta. MarÝa de la Cabeza;CICLOCALLES; SANTA MARÍA DE LA CABEZA;850,14369508600;0,20000000000;20140801;0,85014369509;;SANTA MARÍA CABEZA;697175
Paseo de las Delicias;CICLOCALLES; PASEO DE LAS DELICIAS;693,99411438000;0,20000000000;20140801;0,69399411438;Paseo;DELICIAS;234600
Ancora;CICLOCALLES; ANCORA;479,55141192600;0,20000000000;20140801;0,47955141193;;ANCORA;45400
Méndez Álvaro;CICLOCALLES; MÉNDEZ ÁLVARO;978,39089387800;0,20000000000;20140801;0,97839089388;;MÉNDEZ ÁLVARO;501700
C¬ de San Jer¾nimo;CICLOCALLES; CALLE DE SAN JERÓNIMO;357,86375828900;0,20000000000;20140801;0,35786375829;Calle;SAN JERÓNIMO;673100
P? Castellana;CICLOCALLES; PLAZA CASTELLANA;1079,94843012000;0,20000000000;20140801;1,07994843012;Plaza;CASTELLANA;153500
P? Castellana;CICLOCALLES; PLAZA CASTELLANA;829,89944693400;0,20000000000;20140801;0,82989944693;Plaza;CASTELLANA;153500
Alfonso XII;CICLOCALLES; ALFONSO XII;1337,96928989000;0,20000000000;20140801;1,33796928989;;ALFONSO XII;27500
Alfonso XII;CICLOCALLES; ALFONSO XII;1352,62459342000;0,20000000000;20140801;1,35262459342;;ALFONSO XII;27500
Ciudad de Barcelona;CICLOCALLES; CIUDAD DE BARCELONA;1181,35506352000;0,20000000000;20140801;1,18135506352;;CIUDAD BARCELONA;171800
Ciudad de Barcelona;CICLOCALLES; CIUDAD DE BARCELONA;1273,70795080000;0,20000000000;20140801;1,27370795080;;CIUDAD BARCELONA;171800
Jes·s Aprendiz;CICLOCALLES; JESÚS APRENDIZ;451,02037128200;0,20000000000;20140801;0,45102037128;;JESÚS APRENDIZ;392700
Jes·s Aprendiz;CICLOCALLES; JESÚS APRENDIZ;297,26022782000;0,20000000000;20140801;0,29726022782;;JESÚS APRENDIZ;392700
Lira;CICLOCALLES; LIRA;310,11734600000;0,20000000000;20140801;0,31011734600;;LIRA;439100
Lira;CICLOCALLES; LIRA;399,99361196600;0,20000000000;20140801;0,39999361197;;LIRA;439100
Menéndez Pelayo;CICLOCALLES; MENÉNDEZ PELAYO;2185,76477451000;0,20000000000;20140801;2,18576477451;;MENÉNDEZ PELAYO;502300
