nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud;tipoVia
Palos de la Frontera;CICLOCALLES; PALOS DE LA FRONTERA;298,75623300200;0,20000000000;20140801;0,29875623300;
Cava Alta;CICLOCALLES; CAVA ALTA;193,85804659900;0,20000000000;20140801;0,19385804660;
Pintor Rosales;CICLOCALLES; PINTOR ROSALES;503,99345505900;0,20000000000;20140801;0,50399345506;
P? Moret;CICLOCALLES; PLAZA MORET;554,43685686100;0,20000000000;20140801;0,55443685686;Plaza
P? Moret;CICLOCALLES; PLAZA MORET;425,29511490100;0,20000000000;20140801;0,42529511490;Plaza
Luisa Fernanda;CICLOCALLES; LUISA FERNANDA;314,36302313900;0,20000000000;20140801;0,31436302314;
Felipe IV;CICLOCALLES; FELIPE IV;369,01443931100;0,20000000000;20140801;0,36901443931;
MartÝn de los Heros;CICLOCALLES; MARTÍN DE LOS HEROS;1189,53997440000;0,20000000000;20140801;1,18953997440;
Pza. Espa±a;CICLOCALLES; PLAZA ESPAÑA;244,32468011400;0,20000000000;20140801;0,24432468011;Plaza
Princesa;CICLOCALLES; PRINCESA;1444,15708861000;0,20000000000;20140801;1,44415708861;
Princesa;CICLOCALLES; PRINCESA;1338,33235540000;0,20000000000;20140801;1,33833235540;
Quintana;CICLOCALLES; QUINTANA;446,56058226000;0,20000000000;20140801;0,44656058226;
Serrano Jover;CICLOCALLES; SERRANO JOVER;164,23510849000;0,20000000000;20140801;0,16423510849;
San Bernardo;CICLOCALLES; SAN BERNARDO;987,32092673200;0,20000000000;20140801;0,98732092673;
San Bernardo;CICLOCALLES; SAN BERNARDO;988,43260161800;0,20000000000;20140801;0,98843260162;
Manuela Malasa±a;CICLOCALLES; MANUELA MALASAÑA;319,46922086300;0,20000000000;20140801;0,31946922086;
Sta. Cruz de Marcenado;CICLOCALLES; SANTA CRUZ DE MARCENADO;711,04956738600;0,20000000000;20140801;0,71104956739;
Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;222,01697924100;0,20000000000;20140801;0,22201697924;
Francisco de Rojas;CICLOCALLES; FRANCISCO DE ROJAS;230,17675309100;0,20000000000;20140801;0,23017675309;
MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;133,50477174500;0,20000000000;20140801;0,13350477175;
MejÝa Lequerica;CICLOCALLES; MEJÍA LEQUERICA;327,44984617400;0,20000000000;20140801;0,32744984617;
Fernando VI;CICLOCALLES; FERNANDO VI;290,83343565200;0,20000000000;20140801;0,29083343565;
Bßrbara de Braganza;CICLOCALLES; BÁRBARA DE BRAGANZA;277,19216473200;0,20000000000;20140801;0,27719216473;
Fernado VI;CICLOCALLES; FERNADO VI;69,55349268290;0,20000000000;20140801;0,06955349268;
