nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud
Menéndez Pelayo;CICLOCALLES;Menéndez Pelayo;2185,76477451000;0,20000000000;20140801;2,18576477451
Menéndez Pelayo;CICLOCALLES;Menéndez Pelayo;2169,10110617000;0,20000000000;20140801;2,16910110617
PrÝncipe de Vergara;CICLOCALLES;PrÝncipe de Vergara;1775,12165474000;0,20000000000;20140801;1,77512165474
PrÝncipe de Vergara;CICLOCALLES;PrÝncipe de Vergara;1802,28361392000;0,20000000000;20140801;1,80228361392
Narvßez;CICLOCALLES;Narvßez;996,07436258500;0,20000000000;20140801;0,99607436259
Narvßez;CICLOCALLES;Narvßez;995,71894839100;0,20000000000;20140801;0,99571894839
Conde de Pe±alver;CICLOCALLES;Conde de Pe±alver;1066,64871190000;0,20000000000;20140801;1,06664871190
Conde de Pe±alver;CICLOCALLES;Conde de Pe±alver;1069,53785071000;0,20000000000;20140801;1,06953785071
Jose Ortega y Gasset;CICLOCALLES;Jose Ortega y Gasset;1586,77976118000;0,20000000000;20140801;1,58677976118
Jose Ortega y Gasset;CICLOCALLES;Jose Ortega y Gasset;1582,17005478000;0,20000000000;20140801;1,58217005478
Francisco Silvela;CICLOCALLES;Francisco Silvela;1607,68640899000;0,20000000000;20140801;1,60768640899
Francisco Silvela;CICLOCALLES;Francisco Silvela;1613,95567824000;0,20000000000;20140801;1,61395567824
Doctor Esquerdo;CICLOCALLES;Doctor Esquerdo;3054,85107905000;0,20000000000;20140801;3,05485107905
Doctor Esquerdo;CICLOCALLES;Doctor Esquerdo;3041,68123908000;0,20000000000;20140801;3,04168123908
Goya;CICLOCALLES;Goya;1794,55779169000;0,20000000000;20140801;1,79455779169
Goya;CICLOCALLES;Goya;1792,90263043000;0,20000000000;20140801;1,79290263043
Alcalß;CICLOCALLES;Alcalß;1346,26265061000;0,20000000000;20140801;1,34626265061
Alcalß;CICLOCALLES;Alcalß;1370,99166437000;0,20000000000;20140801;1,37099166437
Guzmßn El Bueno;CICLOCALLES;Guzmßn El Bueno;786,98990482800;0,20000000000;20140801;0,78698990483
Granada;CICLOCALLES;Granada;701,76168596300;0,20000000000;20140801;0,70176168596
Atocha;CICLOCALLES;Atocha;315,50262046900;0,20000000000;20140801;0,31550262047
Atocha;CICLOCALLES;Atocha;670,55119080900;0,20000000000;20140801;0,67055119081
Vallehermoso;CICLOCALLES;Vallehermoso;959,46535179500;0,20000000000;20140801;0,95946535180
Paseo Castellana;CICLOCALLES;Paseo Castellana;0,00000000000;0,00000000000;20141125;3,46432681359
Paseo Castellana;CICLOCALLES;Paseo Castellana;0,00000000000;0,00000000000;20141125;3,42607134154
PrÝncipe de Vergara;CICLOCALLES;PrÝncipe de Vergara;0,00000000000;0,00000000000;20141125;3,16317772325
Serrano;CICLOCALLES;Serrano;0,00000000000;0,00000000000;20141125;0,82941748343
Serrano;CICLOCALLES;Serrano;0,00000000000;0,00000000000;20141125;1,33138079977
Joaquin Costa;CICLOCALLES;Joaquin Costa;0,00000000000;0,00000000000;20141125;1,22190905932
Vallehermoso;CICLOCALLES;Vallehermoso;0,00000000000;0,00000000000;20141125;0,21780941714
Santander;CICLOCALLES;Santander;0,00000000000;0,00000000000;20141125;0,40219189706
Gral Iba±ez de Ibero;CICLOCALLES;Gral Iba±ez de Ibero;0,00000000000;0,00000000000;20141125;0,34144629439
Guzman el Bueno;CICLOCALLES;Guzman el Bueno;0,00000000000;0,00000000000;20141125;0,82257319846
Bravo Murillo;CICLOCALLES;Bravo Murillo;0,00000000000;0,00000000000;20141125;2,59589728392
San Bernardino Sahag·n;CICLOCALLES;San Bernardino Sahag·n;0,00000000000;0,00000000000;20141125;0,48613238954
Mateo Inurria;CICLOCALLES;Mateo Inurria;0,00000000000;0,00000000000;20141125;0,23584240332
Mateo Inurria;CICLOCALLES;Mateo Inurria;0,00000000000;0,00000000000;20141125;1,01310223940
PlaterÝas;CICLOCALLES;PlaterÝas;0,00000000000;0,00000000000;20141125;0,18575863221
San Bernardo;CICLOCALLES;San Bernardo;0,00000000000;0,00000000000;20141125;0,45249128906
Donoso Cortés;CICLOCALLES;Donoso Cortés;0,00000000000;0,00000000000;20141125;1,16266127439
Fernßndez de los Rios;CICLOCALLES;Fernßndez de los Rios;0,00000000000;0,00000000000;20141125;1,19140461089
Bravo Murillo;CICLOCALLES;Bravo Murillo;0,00000000000;0,00000000000;20141125;0,26226692450
Gral Martinez Campos;CICLOCALLES;Gral Martinez Campos;0,00000000000;0,00000000000;20141125;1,27625039513
Bravo Murillo;CICLOCALLES;Bravo Murillo;0,00000000000;0,00000000000;20141125;1,18976997050
Sta Engracia;CICLOCALLES;Sta Engracia;0,00000000000;0,00000000000;20141125;1,68880563998
Gral ?lvarez de Castro;CICLOCALLES;Gral ?lvarez de Castro;0,00000000000;0,00000000000;20141125;0,36932395427
Modesto Lafuente;CICLOCALLES;Modesto Lafuente;0,00000000000;0,00000000000;20141125;1,27579241268
