nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng
Calle de la Virgen de Lluc;834;827;929;1;CICLOCALLES;0;1;Calle de la Virgen de Lluc;VIRGEN DE LLUC;54,08568145150
Calle del MarquÚs de Lozoya;835;828;930;1;CICLOCALLES;1;0;Calle del MarquÚs de Lozoya;MARQUES DE LOZOYA;439,40711724400
Calle del Alcalde L¾pez Casero;836;829;931;1;CICLOCALLES;1;0;Calle del Alcalde L¾pez Casero;ALCALDE LOPEZ CASERO;236,25549987400
Calle del Pez Austral;837;830;933;1;CICLOCALLES;1;0;Calle del Pez Austral;PEZ AUSTRAL;409,61257005700
Calle de Arias Montano;838;831;934;1;CICLOCALLES;1;0;Calle de Arias Montano;ARIAS MONTANO;79,84040170460
Calle de la Estrella Polar;840;833;937;2;PEATONAL;0;0;Calle de la Estrella Polar;ESTRELLA POLAR;112,15248397300
Calle de Juan Esplandiu;841;834;938;1;CICLOCALLES;-1;0;Calle de Juan Esplandiu;JUAN ESPLANDIU;74,66410318510
Avenida de la Paz;842;835;939;2;PEATONAL;0;0;Avenida de la Paz;PAZ;221,59580705200
Calle de Ricardo Ortiz;843;836;940;1;CICLOCALLES;-1;0;Calle de Ricardo Ortiz;RICARDO ORTIZ;962,60108453200
Calle de Ricardo Ortiz;844;837;941;1;CICLOCALLES;1;0;Calle de Ricardo Ortiz;RICARDO ORTIZ;990,35791912500
Calle de Antonio Toledano;845;838;943;1;CICLOCALLES;-1;0;Calle de Antonio Toledano;ANTONIO TOLEDANO;403,10426054800
Calle de Iturbe;846;839;943;1;CICLOCALLES;-1;0;Calle de Iturbe;ITURBE;132,20510255200
Calle de Bocßngel;847;840;944;1;CICLOCALLES;1;0;Calle de Bocßngel;BOCANGEL;433,82356123900
Parque Fuente del Berro;848;841;945;2;PEATONAL;0;0;Parque Fuente del Berro;FUENTE DEL BERRO;225,93696888300
Calle de Alejandro Gonzßlez;849;842;946;1;CICLOCALLES;-1;0;Calle de Alejandro Gonzßlez;ALEJANDRO GONZALEZ;158,64843723600
Plaza de AmÚrica Espa±ola;850;843;946;1;CICLOCALLES;-1;0;Plaza de AmÚrica Espa±ola;AMERICA ESPAÐOLA;40,87486433460
Calle del MarquÚs de MondÚjar;851;844;947;1;CICLOCALLES;-1;0;Calle del MarquÚs de MondÚjar;MARQUES DE MONDEJAR;501,48627375300
Calle de VaquerÝas;852;845;948;1;CICLOCALLES;1;0;Calle de VaquerÝas;VAQUERIAS;81,39325172300
Calle de los Condes de Torreanaz;854;847;951;1;CICLOCALLES;-1;0;Calle de los Condes de Torreanaz;CONDES DE TORREANAZ;151,09021140300
Calle de Juan Esplandiu;856;849;953;1;CICLOCALLES;-1;0;Calle de Juan Esplandiu;JUAN ESPLANDIU;158,04453773100
Calle de Saliente;857;850;954;1;CICLOCALLES;0;1;Calle de Saliente;SALIENTE;60,85145009820
Calle de Londres;858;851;957;1;CICLOCALLES;-1;0;Calle de Londres;LONDRES;497,79598245100
Calle de Alcalß;859;852;958;1;CICLOCALLES;1;0;Calle de Alcalß;ALCALA;30,21370760960
Avenida de los Toreros;861;854;958;1;CICLOCALLES;1;0;Avenida de los Toreros;TOREROS;246,46131641100
Calle de ?ngel Ganivet;1;1;0;1;CICLOCALLES;1;0;Calle de ?ngel Ganivet;ANGEL GANIVET;69,78007252170
Avenida de San Luis;2;2;1;1;CICLOCALLES;1;0;Avenida de San Luis;SAN LUIS;1914,19444613000
Calle de Yerma;3;3;2;1;CICLOCALLES;1;0;Calle de Yerma;YERMA;326,97984683500
Calle de Santa MarÝa Magdalena;4;4;3;2;PEATONAL;0;0;Calle de Santa MarÝa Magdalena;SANTA MARIA MAGDALENA;240,20261346400
Calle de Uruguay;5;5;4;1;CICLOCALLES;1;0;Calle de Uruguay;URUGUAY;495,39162267500
Calle del Pintor Ribera;6;6;5;1;CICLOCALLES;-1;0;Calle del Pintor Ribera;PINTOR RIBERA;233,10102443400
Calle de Huelva;7;7;6;1;CICLOCALLES;1;0;Calle de Huelva;HUELVA;106,34673637400
Calle de Jorge Juan;8;8;7;1;CICLOCALLES;1;0;Calle de Jorge Juan;JORGE JUAN;901,66880014300
Calle de Santa Rafaela MarÝa del Sagrado Coraz¾n;9;9;8;1;CICLOCALLES;-1;0;Calle de Santa Rafaela MarÝa del Sagrado Coraz¾n;SANTA RAFAELA MARIA DEL SAGRADO CORAZON;263,73259897100
Calle de Ferrer del RÝo;10;10;9;1;CICLOCALLES;1;0;Calle de Ferrer del RÝo;FERRER DEL RIO;303,31273104600
Calle de Cartagena;12;11;10;1;CICLOCALLES;-1;0;Calle de Cartagena;CARTAGENA;1170,61442981000
Avenida de Bruselas;14;13;11;1;CICLOCALLES;1;0;Avenida de Bruselas;BRUSELAS;110,42302109200
Calle de LombÝa;15;14;12;1;CICLOCALLES;1;0;Calle de LombÝa;LOMBIA;340,46002693200
Calle de Maiquez;16;15;12;1;CICLOCALLES;1;0;Calle de Maiquez;MAIQUEZ;787,22795364800
Calle de Montesa;17;16;12;1;CICLOCALLES;1;0;Calle de Montesa;MONTESA;382,53841054300
Calle del Alcalde Sßinz de Baranda;18;17;13;1;CICLOCALLES;1;0;Calle del Alcalde Sßinz de Baranda;ALCALDE SAINZ DE BARANDA;1232,60004289000
