nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng;tipoVia
Calle de Sierra Vieja;825;818;911;1;CICLOCALLES;-1;0; CALLE DE SIERRA VIEJA;SIERRA VIEJA;784,49304845000;Calle
Calle de Cyesa;829;822;925;1;CICLOCALLES;1;0; CALLE DE CYESA;CYESA;291,02765114300;Calle
Calle de JosÚ Luis de Arrese;830;823;926;1;CICLOCALLES;1;0; CALLE DE JOSÚ LUIS DE ARRESE;LUIS DE ARRESE;115,87945727300;Calle
Calle del MarquÚs de Lozoya;831;824;927;1;CICLOCALLES;-1;0; CALLE DEL MARQUÉS DE LOZOYA;MARQUES DE LOZOYA;491,75385108800;Calle
Calle del Arroyo de la Media Legua;832;825;928;1;CICLOCALLES;1;0; CALLE DEL ARROYO DE LA MEDIA LEGUA;ARROYO DE LA MEDIA LAGUNA;777,15899331300;Calle
Calle de Sierra Toledana;833;826;928;1;CICLOCALLES;1;0; CALLE DE SIERRA TOLEDANA;SIERRA TOLEDANA;868,90569622100;Calle
Calle de la Virgen de Lluc;834;827;929;1;CICLOCALLES;0;1; CALLE DE LA VIRGEN DE LLUC;VIRGEN DE LLUC;54,08568145150;Calle
Calle del MarquÚs de Lozoya;835;828;930;1;CICLOCALLES;1;0; CALLE DEL MARQUÉS DE LOZOYA;MARQUES DE LOZOYA;439,40711724400;Calle
Calle del Alcalde L¾pez Casero;836;829;931;1;CICLOCALLES;1;0; CALLE DEL ALCALDE LÓPEZ CASERO;ALCALDE LOPEZ CASERO;236,25549987400;Calle
Calle del Pez Austral;837;830;933;1;CICLOCALLES;1;0; CALLE DEL PEZ AUSTRAL;PEZ AUSTRAL;409,61257005700;Calle
Calle de Arias Montano;838;831;934;1;CICLOCALLES;1;0; CALLE DE ARIAS MONTANO;ARIAS MONTANO;79,84040170460;Calle
Calle de la Estrella Polar;840;833;937;2;PEATONAL;0;0; CALLE DE LA ESTRELLA POLAR;ESTRELLA POLAR;112,15248397300;Calle
Calle de Juan Esplandiu;841;834;938;1;CICLOCALLES;-1;0; CALLE DE JUAN ESPLANDIU;JUAN ESPLANDIU;74,66410318510;Calle
Avenida de la Paz;842;835;939;2;PEATONAL;0;0; AVENIDA DE LA PAZ;PAZ;221,59580705200;Avenida
Calle de Ricardo Ortiz;843;836;940;1;CICLOCALLES;-1;0; CALLE DE RICARDO ORTIZ;RICARDO ORTIZ;962,60108453200;Calle
Calle de Ricardo Ortiz;844;837;941;1;CICLOCALLES;1;0; CALLE DE RICARDO ORTIZ;RICARDO ORTIZ;990,35791912500;Calle
Calle de Antonio Toledano;845;838;943;1;CICLOCALLES;-1;0; CALLE DE ANTONIO TOLEDANO;ANTONIO TOLEDANO;403,10426054800;Calle
Calle de Iturbe;846;839;943;1;CICLOCALLES;-1;0; CALLE DE ITURBE;ITURBE;132,20510255200;Calle
Calle de Bocßngel;847;840;944;1;CICLOCALLES;1;0; CALLE DE BOCÁNGEL;BOCANGEL;433,82356123900;Calle
Parque Fuente del Berro;848;841;945;2;PEATONAL;0;0; PARQUE FUENTE DEL BERRO;FUENTE DEL BERRO;225,93696888300;
Calle de Alejandro Gonzßlez;849;842;946;1;CICLOCALLES;-1;0; CALLE DE ALEJANDRO GONZÁLEZ;ALEJANDRO GONZALEZ;158,64843723600;Calle
Plaza de AmÚrica Espa±ola;850;843;946;1;CICLOCALLES;-1;0; PLAZA DE AMÚRICA ESPAÑOLA;AMERICA ESPAÐOLA;40,87486433460;Plaza
Calle del MarquÚs de MondÚjar;851;844;947;1;CICLOCALLES;-1;0; CALLE DEL MARQUÉS DE MONDÚJAR;MARQUES DE MONDEJAR;501,48627375300;Calle
Calle de VaquerÝas;852;845;948;1;CICLOCALLES;1;0; CALLE DE VAQUERÍAS;VAQUERIAS;81,39325172300;Calle
Calle de los Condes de Torreanaz;854;847;951;1;CICLOCALLES;-1;0; CALLE DE LOS CONDES DE TORREANAZ;CONDES DE TORREANAZ;151,09021140300;Calle
Calle de Juan Esplandiu;856;849;953;1;CICLOCALLES;-1;0; CALLE DE JUAN ESPLANDIU;JUAN ESPLANDIU;158,04453773100;Calle
Calle de Saliente;857;850;954;1;CICLOCALLES;0;1; CALLE DE SALIENTE;SALIENTE;60,85145009820;Calle
Calle de Londres;858;851;957;1;CICLOCALLES;-1;0; CALLE DE LONDRES;LONDRES;497,79598245100;Calle
Calle de Alcalß;859;852;958;1;CICLOCALLES;1;0; CALLE DE ALCALÁ;ALCALA;30,21370760960;Calle
Avenida de los Toreros;861;854;958;1;CICLOCALLES;1;0; AVENIDA DE LOS TOREROS;TOREROS;246,46131641100;Avenida
Calle de ?ngel Ganivet;1;1;0;1;CICLOCALLES;1;0; CALLE DE ÁNGEL GANIVET;ANGEL GANIVET;69,78007252170;Calle
Avenida de San Luis;2;2;1;1;CICLOCALLES;1;0; AVENIDA DE SAN LUIS;SAN LUIS;1914,19444613000;Avenida
Calle de Yerma;3;3;2;1;CICLOCALLES;1;0; CALLE DE YERMA;YERMA;326,97984683500;Calle
Calle de Santa MarÝa Magdalena;4;4;3;2;PEATONAL;0;0; CALLE DE SANTA MARÍA MAGDALENA;SANTA MARIA MAGDALENA;240,20261346400;Calle
Calle de Uruguay;5;5;4;1;CICLOCALLES;1;0; CALLE DE URUGUAY;URUGUAY;495,39162267500;Calle
Calle del Pintor Ribera;6;6;5;1;CICLOCALLES;-1;0; CALLE DEL PINTOR RIBERA;PINTOR RIBERA;233,10102443400;Calle
Calle de Huelva;7;7;6;1;CICLOCALLES;1;0; CALLE DE HUELVA;HUELVA;106,34673637400;Calle
Calle de Jorge Juan;8;8;7;1;CICLOCALLES;1;0; CALLE DE JORGE JUAN;JORGE JUAN;901,66880014300;Calle
Calle de Santa Rafaela MarÝa del Sagrado Coraz¾n;9;9;8;1;CICLOCALLES;-1;0; CALLE DE SANTA RAFAELA MARÍA DEL SAGRADO CORAZÓN;SANTA RAFAELA MARIA DEL SAGRADO CORAZON;263,73259897100;Calle
Calle de Ferrer del RÝo;10;10;9;1;CICLOCALLES;1;0; CALLE DE FERRER DEL RÍO;FERRER DEL RIO;303,31273104600;Calle
Calle de Cartagena;12;11;10;1;CICLOCALLES;-1;0; CALLE DE CARTAGENA;CARTAGENA;1170,61442981000;Calle
Avenida de Bruselas;14;13;11;1;CICLOCALLES;1;0; AVENIDA DE BRUSELAS;BRUSELAS;110,42302109200;Avenida
Calle de LombÝa;15;14;12;1;CICLOCALLES;1;0; CALLE DE LOMBÍA;LOMBIA;340,46002693200;Calle
Calle de Maiquez;16;15;12;1;CICLOCALLES;1;0; CALLE DE MAIQUEZ;MAIQUEZ;787,22795364800;Calle
Calle de Montesa;17;16;12;1;CICLOCALLES;1;0; CALLE DE MONTESA;MONTESA;382,53841054300;Calle
Calle del Alcalde Sßinz de Baranda;18;17;13;1;CICLOCALLES;1;0; CALLE DEL ALCALDE ÁSINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;1232,60004289000;Calle
Calle del Alcalde Sßinz de Baranda;19;18;14;1;CICLOCALLES;1;0; CALLE DEL ALCALDE ÁSINZ DE BARANDA;ALCALDE SAINZ DE BARANDA;1250,63265237000;Calle
Calle de Luis Mitjans;20;19;15;1;CICLOCALLES;1;0; CALLE DE LUIS MITJANS;LUIS MITJANS;241,12036767200;Calle
Calle de Valderribas;21;20;16;1;CICLOCALLES;-1;0; CALLE DE VALDERRIBAS;VALDERRIBAS;780,20067596800;Calle
Calle de Fromista;22;21;17;1;CICLOCALLES;0;1; CALLE DE FROMISTA;FROMISTA;727,58344121000;Calle
Calle de la Retama;23;22;18;1;CICLOCALLES;0;1; CALLE DE LA RETAMA;RETAMA;383,82056234500;Calle
Calle de Don Ram¾n de la Cruz;24;23;19;1;CICLOCALLES;1;0; CALLE DE DON RAMÓN DE LA CRUZ;DON RAMON DE LA CRUZ;1706,86406040000;Calle
Calle de Nicasio Gallego;25;24;19;1;CICLOCALLES;1;0; CALLE DE NICASIO GALLEGO;NICASIO GALLEGO;266,43265015100;Calle
Calle de Zurbarßn;26;25;19;1;CICLOCALLES;1;0; CALLE DE ZURBARÁN;ZURBARAN;599,23715363100;Calle
Calle de Padilla;27;26;20;1;CICLOCALLES;-1;0; CALLE DE PADILLA;PADILLA;1241,34351096000;Calle
Calle de Luis Cabrera;28;27;21;1;CICLOCALLES;1;0; CALLE DE LUIS CABRERA;LUIS CABRERA;598,93662984600;Calle
Avenida de Aster;30;29;22;1;CICLOCALLES;-1;0; AVENIDA DE ASTER;ASTER;289,37459453700;Avenida
Paseo de los Cerezos;31;30;22;1;CICLOCALLES;-1;0; PASEO DE LOS CEREZOS;CEREZOS;353,01582375500;Paseo
Calle del Padre Claret;32;31;22;1;CICLOCALLES;-1;0; CALLE DEL PADRE CLARET;PADRE CLARET;197,07646641800;Calle
Calle de la Drßcena;33;32;23;1;CICLOCALLES;1;0; CALLE DE LA DRÁCENA;DRACENA;320,12615748700;Calle
Avenida de la Paz;34;33;24;2;PEATONAL;0;0; AVENIDA DE LA PAZ;PAZ;355,31407332100;Avenida
