nombreOriginal;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
ABRIL;2500;CALLE;DE; ABRIL;ABRIL;20;1;63;2;64;;ABRIL
ABTAO;2600;CALLE;DE; ABTAO;ABTAO;3;1;31;2;48;;ABTAO
ABTAO;2600;CALLE;DE; ABTAO;ABTAO;3;1;31;2;48;;ABTAO
ABUBILLA;2725;RONDA;DE LA; ABUBILLA;ABUBILLA;16;1;51;6;52;;ABUBILLA
ABUNDIO GARCIA ROMAN;31000683;CALLE;DE; ABUNDIO GARCIA ROMAN;ABUNDIO GARCÍA ROMÁN;11;;;;;;ABUNDIO GARCIA ROMAN
ABUÑOL;2800;CALLE;DE; ABUÑOL;ABUÑOL;16;5;2235;6;8;;ABUÑOL
ACACIAS;2900;PASEO;DE LAS; ACACIAS;ACACIAS;2;1;69;2;58;;ACACIAS
ACADEMIA;3000;CALLE;DE LA; ACADEMIA;ACADEMIA;3;1;11;2;12;;ACADEMIA
ACADEMOS;3200;CALLE;DE; ACADEMOS;ACADEMOS;16;1;67;2;40;;ACADEMOS
ACAMAR;3250;CALLE;DE; ACAMAR;ACAMAR;9;1;31;6;18;;ACAMAR
ACANTILADO;3400;CALLE;DEL; ACANTILADO;ACANTILADO;9;1;17;2;6;;ACANTILADO
ACANTITA;2881;CALLE;DE LA; ACANTITA;ACANTITA;17;1;7;2;14;;ACANTITA
ACANTO;873;CALLE;DEL; ACANTO;ACANTO;2;1;17;2;26;;ACANTO
ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;1084;CARRETERA;DE; ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;ACCESO A LA ESTACIÓN DE AUTOBUSES DE LA E.M.T.;13;9;13;8;20;Acceso;ESTACION AUTOBUSES E.M.T.
ACCESO A LA ESTACION DE O'DONNELL;906015;CARRETERA;DE; ACCESO A LA ESTACION DE O'DONNELL;ACCESO A LA ESTACIÓN DE O'DONNELL;20;;;10;10;Acceso;ESTACION O'DONNELL
ACEBEDO;3700;CALLE;DE; ACEBEDO;ACEBEDO;16;5;2127;4;2048;;ACEBEDO
ACEBES;3750;CALLE;DE; ACEBES;ACEBES;17;1;5;2;8;;ACEBES
ACEBO;3800;CALLE;DEL; ACEBO;ACEBO;5;1;23;2;24;;ACEBO
ACEBUCHE;546601;CALLE;DEL; ACEBUCHE;ACEBUCHE;9;1;1;2;18;;ACEBUCHE
ACEITEROS;905704;CAMINO;DE LOS; ACEITEROS;ACEITEROS;18;101;117;;;;ACEITEROS
ACENTEJO;3900;CALLE;DE; ACENTEJO;ACENTEJO;15;3;9;2;10;;ACENTEJO
ACEREIRO;906106;CALLE;DE; ACEREIRO;ACEREIRO;10;1;5;2;8;;ACEREIRO
ACEUCHAL;4100;CALLE;DE; ACEUCHAL;ACEUCHAL;11;1;19;2;18;;ACEUCHAL
ACEUCHAL;4100;CALLE;DE; ACEUCHAL;ACEUCHAL;11;1;19;2;18;;ACEUCHAL
ACHICORIA;928;PLAZA;DE LA; ACHICORIA;ACHICORIA;10;1;3;2;4;;ACHICORIA
ACHURI;4200;CALLE;DE; ACHURI;ACHURI;15;1;43;2;50;;ACHURI
ACONCAGUA;901;CALLE;DE; ACONCAGUA;ACONCAGUA;16;;;2;4;;ACONCAGUA
ACONCAGUA;901;CALLE;DE; ACONCAGUA;ACONCAGUA;16;;;2;4;;ACONCAGUA
ACONITO;4400;CALLE;DEL; ACONITO;ACÓNITO;6;;;4;4;;ACONITO
ACUARELA;4450;CALLE;DE LA; ACUARELA;ACUARELA;21;1;11;2;12;;ACUARELA
ACUARIO;4500;CALLE;DE; ACUARIO;ACUARIO;21;1;31;2;38;;ACUARIO
ACUEDUCTO;4600;CALLE;DEL; ACUEDUCTO;ACUEDUCTO;6;1;7;2;12;;ACUEDUCTO
ACUEDUCTO DE SEGOVIA;31000190;CALLE;DEL; ACUEDUCTO DE SEGOVIA;ACUEDUCTO DE SEGOVIA;11;5;5;6;6;;ACUEDUCTO SEGOVIA
ACUERDO;4700;CALLE;DEL; ACUERDO;ACUERDO;1;1;41;2;38;;ACUERDO
ADAM SMITH;31000289;CALLE;DE; ADAM SMITH;ADAM SMITH;8;;;2;4;;ADAM SMITH
ADANERO;4750;CALLE;DE; ADANERO;ADANERO;10;1;7;2;16;;ADANERO
ADELA BALBOA;4900;CALLE;DE; ADELA BALBOA;ADELA BALBOA;6;1;7;2;16;;ADELA BALBOA
ADELFAS;5000;CALLE;DE LAS; ADELFAS;ADELFAS;3;1;15;2;40;;ADELFAS
ADELINA PATTI;389800;CALLE;DE; ADELINA PATTI;ADELINA PATTI;8;1;13;;;;ADELINA PATTI
ADEMUZ;5200;CALLE;DE; ADEMUZ;ADEMUZ;11;1;9;2;12;;ADEMUZ
