COD_VIA;nombreOriginal;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
2500;ABRIL;CALLE;DE; ABRIL;ABRIL;20;1;63;2;64;;ABRIL
2600;ABTAO;CALLE;DE; ABTAO;ABTAO;3;1;31;2;48;;ABTAO
2600;ABTAO;CALLE;DE; ABTAO;ABTAO;3;1;31;2;48;;ABTAO
2725;ABUBILLA;RONDA;DE LA; ABUBILLA;ABUBILLA;16;1;51;6;52;;ABUBILLA
31000683;ABUNDIO GARCIA ROMAN;CALLE;DE; ABUNDIO GARCIA ROMAN;ABUNDIO GARCÍA ROMÁN;11;;;;;;ABUNDIO GARCIA ROMAN
2800;ABUÑOL;CALLE;DE; ABUÑOL;ABUÑOL;16;5;2235;6;8;;ABUÑOL
2900;ACACIAS;PASEO;DE LAS; ACACIAS;ACACIAS;2;1;69;2;58;;ACACIAS
3000;ACADEMIA;CALLE;DE LA; ACADEMIA;ACADEMIA;3;1;11;2;12;;ACADEMIA
3200;ACADEMOS;CALLE;DE; ACADEMOS;ACADEMOS;16;1;67;2;40;;ACADEMOS
3250;ACAMAR;CALLE;DE; ACAMAR;ACAMAR;9;1;31;6;18;;ACAMAR
3400;ACANTILADO;CALLE;DEL; ACANTILADO;ACANTILADO;9;1;17;2;6;;ACANTILADO
2881;ACANTITA;CALLE;DE LA; ACANTITA;ACANTITA;17;1;7;2;14;;ACANTITA
873;ACANTO;CALLE;DEL; ACANTO;ACANTO;2;1;17;2;26;;ACANTO
1084;ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;CARRETERA;DE; ACCESO A LA ESTACION DE AUTOBUSES DE LA E.M.T.;ACCESO A LA ESTACIÓN DE AUTOBUSES DE LA E.M.T.;13;9;13;8;20;Acceso;ESTACION AUTOBUSES E.M.T.
