nombreOriginal;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX
ACCESO A LA ESTACION DE O'DONNELL;906015;CARRETERA;DE; ACCESO A LA ESTACION DE O'DONNELL;ACCESO A LA ESTACIÓN DE O'DONNELL;20;;;10;10
ACEBEDO;3700;CALLE;DE; ACEBEDO;ACEBEDO;16;5;2127;4;2048
ACEBES;3750;CALLE;DE; ACEBES;ACEBES;17;1;5;2;8
ACEBO;3800;CALLE;DEL; ACEBO;ACEBO;5;1;23;2;24
ACEBUCHE;546601;CALLE;DEL; ACEBUCHE;ACEBUCHE;9;1;1;2;18
ACEITEROS;905704;CAMINO;DE LOS; ACEITEROS;ACEITEROS;18;101;117;;
ACENTEJO;3900;CALLE;DE; ACENTEJO;ACENTEJO;15;3;9;2;10
ACEREIRO;906106;CALLE;DE; ACEREIRO;ACEREIRO;10;1;5;2;8
ACEUCHAL;4100;CALLE;DE; ACEUCHAL;ACEUCHAL;11;1;19;2;18
ACEUCHAL;4100;CALLE;DE; ACEUCHAL;ACEUCHAL;11;1;19;2;18
ACHICORIA;928;PLAZA;DE LA; ACHICORIA;ACHICORIA;10;1;3;2;4
ACHURI;4200;CALLE;DE; ACHURI;ACHURI;15;1;43;2;50
ACONCAGUA;901;CALLE;DE; ACONCAGUA;ACONCAGUA;16;;;2;4
ACONCAGUA;901;CALLE;DE; ACONCAGUA;ACONCAGUA;16;;;2;4
ACONITO;4400;CALLE;DEL; ACONITO;ACÓNITO;6;;;4;4
ACUARELA;4450;CALLE;DE LA; ACUARELA;ACUARELA;21;1;11;2;12
ACUARIO;4500;CALLE;DE; ACUARIO;ACUARIO;21;1;31;2;38
ACUEDUCTO;4600;CALLE;DEL; ACUEDUCTO;ACUEDUCTO;6;1;7;2;12
ACUEDUCTO DE SEGOVIA;31000190;CALLE;DEL; ACUEDUCTO DE SEGOVIA;ACUEDUCTO DE SEGOVIA;11;5;5;6;6
ACUERDO;4700;CALLE;DEL; ACUERDO;ACUERDO;1;1;41;2;38
ADAM SMITH;31000289;CALLE;DE; ADAM SMITH;ADAM SMITH;8;;;2;4
ADANERO;4750;CALLE;DE; ADANERO;ADANERO;10;1;7;2;16
ADELA BALBOA;4900;CALLE;DE; ADELA BALBOA;ADELA BALBOA;6;1;7;2;16
ADELFAS;5000;CALLE;DE LAS; ADELFAS;ADELFAS;3;1;15;2;40
ADELINA PATTI;389800;CALLE;DE; ADELINA PATTI;ADELINA PATTI;8;1;13;;
ADEMUZ;5200;CALLE;DE; ADEMUZ;ADEMUZ;11;1;9;2;12
ADOLFO BIOY CASARES;31000496;CALLE;DE; ADOLFO BIOY CASARES;ADOLFO BIOY CASARES;18;1;9;2;2
ADOLFO MARSILLACH;31000486;CALLE;DE; ADOLFO MARSILLACH;ADOLFO MARSILLACH;18;15;23;4;56
ADOLFO SUAREZ MADRID BARAJAS;31005003;AEROPUERTO;DE; ADOLFO SUAREZ MADRID BARAJAS;ADOLFO SUÁREZ MADRID BARAJAS;;;;;
ADONIS;969;CALLE;DE; ADONIS;ADONIS;10;1;1;2;10
ADORA;5300;CALLE;DE; ADORA;ADORA;12;1;11;2;16
ADRA;5400;CALLE;DE; ADRA;ADRA;13;1;7;2;4
ADRA;5500;PASAJE;DE; ADRA;ADRA;13;1;1;6;6
ADRADA DE HAZA;5600;CALLE;DE; ADRADA DE HAZA;ADRADA DE HAZA;13;1;13;2;36
ADRIAN ANDRES;5700;CALLE;DE; ADRIAN ANDRES;ADRIÁN ANDRÉS;9;1;31;2;16
ADRIAN PULIDO;5900;CALLE;DE; ADRIAN PULIDO;ADRIÁN PULIDO;6;1;15;2;20
ADRIANO DE UTRECHT;31000084;CALLE;DE; ADRIANO DE UTRECHT;ADRIANO DE UTRECHT;16;1;7;;
ADUANA;6000;CALLE;DE LA; ADUANA;ADUANA;1;1;33;2;18
AERONAVE;6300;CALLE;DE LA; AERONAVE;AERONAVE;21;3;49;4;26
AEROPUERTO;1126;CAMINO;DEL; AEROPUERTO;AEROPUERTO;21;7;15;6;20
AFECTO;1006;CALLE;DEL; AFECTO;AFECTO;17;1;15;2;20
AFLUENTES;1022;CALLE;DE LOS; AFLUENTES;AFLUENTES;17;1;27;2;12
AFUERAS A SAN ROQUE;6600;CALLE;DE; AFUERAS A SAN ROQUE;AFUERAS A SAN ROQUE;8;1;23;2;10
AFUERAS A VALVERDE;6700;CALLE;DE; AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;1;43;2;56
AFUERAS A VALVERDE;6700;CALLE;DE; AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;1;43;2;56
AGACHADIZA;1973;PUENTE;DE LA; AGACHADIZA;AGACHADIZA;9;;;;
AGAMI;6800;CALLE;DE; AGAMI;AGAMI;15;1;1;2;4
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128
AGATA;7100;CALLE;DE; AGATA;ÁGATA;17;1;5;2;4
AGATA;7200;PLAZA;DE; AGATA;ÁGATA;17;1;11;2;8
AGATHA CHRISTIE;31001351;CALLE;DE; AGATHA CHRISTIE;AGATHA CHRISTIE;16;1;269;2;56
AGAVE;7300;CALLE;DEL; AGAVE;ÁGAVE;6;1;33;2;24
AGES;2826;CALLE;DE; AGES;AGÉS;8;1;1;2;4
AGILA;7400;CALLE;DE; AGILA;AGILA;10;1;1;2;12
AGOSTO;7600;CALLE;DE; AGOSTO;AGOSTO;20;1;71;2;70
AGRACEJO;7700;CALLE;DEL; AGRACEJO;AGRACEJO;6;1;19;2;12
AGRAMUNT;7800;CALLE;DE; AGRAMUNT;AGRAMUNT;21;1;3;2;4
AGREDA;7850;CALLE;DE; AGREDA;ÁGREDA;16;1;11;2;16
AGUA, AZUCARILLOS Y AGUARDIENTE;31001268;PLAZA;DE; AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17;;;;
AGUA, AZUCARILLOS Y AGUARDIENTE;31001268;PLAZA;DE; AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17;;;;
AGUACATE;7900;CALLE;DEL; AGUACATE;AGUACATE;11;1;47;2;64
AGUADOR;8000;PLAZA;DEL; AGUADOR;AGUADOR;11;;;2;6
AGUADULCE;8100;CALLE;DE; AGUADULCE;AGUADULCE;21;1;15;2;16
AGUARON;8200;CALLE;DE; AGUARON;AGUARÓN;9;3;35;4;58
AGUAS;8300;CALLE;DE LAS; AGUAS;AGUAS;1;1;17;2;14
AGUAVIVA;8400;CALLE;DE; AGUAVIVA;AGUAVIVA;20;1;5;2;8
AGUEDA DIEZ;8500;CALLE;DE; AGUEDA DIEZ;ÁGUEDA DÍEZ;11;1;7;2;10
AGUEDA DIEZ;8600;PLAZA;DE; AGUEDA DIEZ;ÁGUEDA DÍEZ;11;1;5;2;4
AGUETOL;838;CALLE;DE; AGUETOL;AGUETOL;21;1;13;2;14
AGUILA;8700;CALLE;DEL; AGUILA;ÁGUILA;1;1;27;2;22
AGUILA DE SAN JORGE;905563;CAMINO;DEL; AGUILA DE SAN JORGE;ÁGUILA DE SAN JORGE;8;;;;
AGUILAFUENTE;8800;CALLE;DE; AGUILAFUENTE;AGUILAFUENTE;9;1;131;36;36
AGUILAR DE CAMPOO;8900;CALLE;DE; AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;9;1;29;2;28
AGUILAR DEL RIO;9100;CALLE;DE; AGUILAR DEL RIO;AGUILAR DEL RÍO;11;1;23;2;18
AGUILEÑAS;9200;CALLE;DE LAS; AGUILEÑAS;AGUILEÑAS;6;1;15;2;6
AGUILON;9300;CALLE;DE; AGUILON;AGUILÓN;2;1;17;2;4
AGUIRRE;9500;CALLE;DE; AGUIRRE;AGUIRRE;4;1;5;2;2
AGUJA;9600;CALLE;DE LA; AGUJA;AGUJA;20;1;1;2;16
AGUSTIN CALVO;9900;CALLE;DE; AGUSTIN CALVO;AGUSTÍN CALVO;16;3;53;4;50
AGUSTIN DE BETANCOURT;9800;CALLE;DE; AGUSTIN DE BETANCOURT;AGUSTÍN DE BETANCOURT;7;1;25;2;6
AGUSTIN DE FOXA;10200;CALLE;DE; AGUSTIN DE FOXA;AGUSTÍN DE FOXÁ;5;1;33;2;58
AGUSTIN DE ITURBIDE;2263;CALLE;DE; AGUSTIN DE ITURBIDE;AGUSTÍN DE ITURBIDE;16;1;7;2;38
AGUSTIN DE ROJAS;10600;CALLE;DE; AGUSTIN DE ROJAS;AGUSTÍN DE ROJAS;5;1;13;2;12
AGUSTIN DURAN;10100;CALLE;DE; AGUSTIN DURAN;AGUSTÍN DURÁN;4;1;39;2;34
AGUSTIN GARCIA MALLA;2643;CALLE;DE; AGUSTIN GARCIA MALLA;AGUSTÍN GARCÍA MALLA;18;;;2;12
AGUSTIN GONZALEZ;31001046;PLAZA;DE; AGUSTIN GONZALEZ;AGUSTÍN GONZÁLEZ;15;1;15;;
AGUSTIN LARA;10260;CALLE;DE; AGUSTIN LARA;AGUSTÍN LARA;9;1;11;2;22
AGUSTIN QUEROL;10400;CALLE;DE; AGUSTIN QUEROL;AGUSTÍN QUEROL;3;1;13;2;8
AGUSTIN RODRIGUEZ BONAT;10500;CALLE;DE; AGUSTIN RODRIGUEZ BONAT;AGUSTÍN RODRÍGUEZ BONAT;11;1;7;2;2
AGUSTIN VIÑAMATA;10800;CALLE;DE; AGUSTIN VIÑAMATA;AGUSTÍN VIÑAMATA;3;1;5;2;8
AGUSTINA DE ARAGON;10900;CALLE;DE; AGUSTINA DE ARAGON;AGUSTINA DE ARAGÓN;4;1;21;2;14
AGUSTINA FIERRA;11100;CALLE;DE; AGUSTINA FIERRA;AGUSTINA FIERRA;11;3;9;2;10
AHIJONES;11300;CALLE;DE LOS; AHIJONES;AHIJONES;13;1;5;4;12
AHILLONES;11450;PASAJE;DE; AHILLONES;AHILLONES;16;;;2;4
AHONES;11500;AVENIDA;DE LOS; AHONES;AHONES;16;1;21;2;22
AHORRO;11550;PLAZA;DEL; AHORRO;AHORRO;17;;;6;6
AHUMAOS;31000677;CALLE;DE LOS; AHUMAOS;AHUMAOS;19;15;39;14;24
AILANTO;11800;CALLE;DEL; AILANTO;AILANTO;6;1;41;12;54
AINSA;915;CALLE;DE; AINSA;AÍNSA;20;1;31;2;30
AIRE;2734;CALLE;DEL; AIRE;AIRE;21;9;87;2;56
AIZGORRI;11900;CALLE;DE; AIZGORRI;AIZGORRI;4;1;13;2;14
AJALVIR;12000;CALLE;DE; AJALVIR;AJALVIR;9;1;5;2;10
AJENJO;775601;CALLE;DEL; AJENJO;AJENJO;9;1;13;2;8
AJOFRIN;12300;CALLE;DE; AJOFRIN;AJOFRÍN;20;;;2;30
AJOFRIN;12300;CALLE;DE; AJOFRIN;AJOFRÍN;20;;;2;30
ALABARDEROS;12350;PASEO;DE LOS; ALABARDEROS;ALABARDEROS;10;3;3;2;48
ALABASTRO;2313;CALLE;DEL; ALABASTRO;ALABASTRO;2;5;5;6;6
ALADIERNA;12400;CALLE;DE LA; ALADIERNA;ALADIERNA;17;1;11;2;18
ALAGON;12500;CALLE;DE; ALAGON;ALAGÓN;21;1;31;2;26
ALAJATE;12600;CALLE;DE; ALAJATE;ALAJATE;12;1;9;;
ALAMBIQUE;12700;CALLE;DEL; ALAMBIQUE;ALAMBIQUE;20;1;7;2;8
ALAMEDA;12800;CALLE;DE LA; ALAMEDA;ALAMEDA;1;1;17;2;26
ALAMEDA DE LA FUENTE;31000371;CALLE;DE LA; ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;19;1;9;;
ALAMEDA DE LA FUENTE;31000371;CALLE;DE LA; ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;21;;;;
ALAMEDA DE OSUNA;13000;PASEO;DE LA; ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;16;;;2;2
ALAMEDA DE OSUNA;13000;PASEO;DE LA; ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;21;25;179;8;80
ALAMEDA DEL VALLE;31000506;CALLE;DE; ALAMEDA DEL VALLE;ALAMEDA DEL VALLE;18;9;91;14;68
ALAMEDILLA;13200;CALLE;DE; ALAMEDILLA;ALAMEDILLA;2;1;33;16;30
ALAMEDILLAS;1189;PASEO;DE LAS; ALAMEDILLAS;ALAMEDILLAS;8;1;5;2;10
ALAMILLO;13400;CALLE;DEL; ALAMILLO;ALAMILLO;1;1;1;2;2
ALAMILLO;13500;PLAZA;DEL; ALAMILLO;ALAMILLO;1;1;11;2;10
ALAMO;13600;CALLE;DEL; ALAMO;ÁLAMO;1;1;9;2;12
ALAMO NEGRO;1978;PUENTE;DEL; ALAMO NEGRO;ÁLAMO NEGRO;9;;;;
ALAMO NEGRO;1978;PUENTE;DEL; ALAMO NEGRO;ÁLAMO NEGRO;9;;;;
ALAN TURING;31001239;CALLE;DE; ALAN TURING;ALAN TURING;13;1;3;;
ALANIS;13900;CALLE;DE; ALANIS;ALANIS;21;1;7;2;8
ALAR DEL REY;14000;CALLE;DE; ALAR DEL REY;ALAR DEL REY;21;3;41;2;70
ALARICO;14100;CALLE;DE; ALARICO;ALARICO;11;1;57;2;56
ALARO;14200;CALLE;DE; ALARO;ALARÓ;21;1;21;2;20
ALARO;14250;TRAVESÍA;DE; ALARO;ALARÓ;21;1;9;2;12
ALAS;14300;CALLE;DE LAS; ALAS;ALAS;21;19;33;2;30
ALATERNO;14400;CALLE;DEL; ALATERNO;ALATERNO;5;;;4;4
ALAVA;14500;CALLE;DE; ALAVA;ÁLAVA;15;1;15;2;20
ALBA;14600;CALLE;DEL; ALBA;ALBA;16;1;21;2;16
ALBA DE TORMES;14700;CALLE;DE; ALBA DE TORMES;ALBA DE TORMES;11;1;51;2;30
ALBACETE;14750;CALLE;DE; ALBACETE;ALBACETE;15;1;7;2;12
ALBADALEJO;14800;CALLE;DE; ALBADALEJO;ALBADALEJO;20;1;19;2;52
ALBAHACA;14900;CALLE;DE LA; ALBAHACA;ALBAHACA;16;;;2;12
ALBAICIN;15050;CALLE;DE; ALBAICIN;ALBAICÍN;12;1;19;2;14
ALBAIDA;15100;CALLE;DE; ALBAIDA;ALBAIDA;20;1;3;6;94
ALBALA;15200;CALLE;DE; ALBALA;ALBALÁ;20;3;17;2;20
ALBALATE DEL ARZOBISPO;15300;CALLE;DE; ALBALATE DEL ARZOBISPO;ALBALATE DEL ARZOBISPO;13;1;13;2;14
ALBANIA;2455;CALLE;DE; ALBANIA;ALBANIA;20;1;19;2;8
ALBAÑILERIA;15400;CALLE;DE LA; ALBAÑILERIA;ALBAÑILERÍA;20;5;15;2;20
ALBARDIN;983;CALLE;DEL; ALBARDIN;ALBARDÍN;12;1;7;2;8
ALBARES DE LA RIBERA;15500;CALLE;DE; ALBARES DE LA RIBERA;ALBARES DE LA RIBERA;11;1;27;2;62
ALBARICOQUE;15600;CALLE;DEL; ALBARICOQUE;ALBARICOQUE;11;1;11;2;2
ALBARRACIN;15700;CALLE;DE; ALBARRACIN;ALBARRACÍN;20;1;41;2;60
ALBASANZ;15800;CALLE;DE; ALBASANZ;ALBASANZ;20;1;81;2;84
ALBATANA;15900;CALLE;DE; ALBATANA;ALBATANA;16;1;5;2;6
ALBATROS;16000;CALLE;DEL; ALBATROS;ALBATROS;11;1;23;2;20
ALBELDA;16100;CALLE;DE; ALBELDA;ALBELDA;15;1;1;2;6
ALBENDIEGO;16200;CALLE;DE; ALBENDIEGO;ALBENDIEGO;6;1;25;2;28
ALBENIZ;16300;CALLE;DE; ALBENIZ;ALBÉNIZ;10;1;9;2;12
ALBENTOSA;16400;CALLE;DE; ALBENTOSA;ALBENTOSA;11;;;2;48
ALBENTOSA;16400;CALLE;DE; ALBENTOSA;ALBENTOSA;11;;;2;48
ALBERCHE;16700;CALLE;DEL; ALBERCHE;ALBERCHE;2;;;;
ALBERCHE;16700;CALLE;DEL; ALBERCHE;ALBERCHE;3;21;21;10;16
ALBERCHE;1159;PASAJE;DEL; ALBERCHE;ALBERCHE;3;1;1;;
ALBERDI;16800;CALLE;DE; ALBERDI;ALBERDI;6;1;63;4;52
ALBERDI (PARTICULAR);16900;CALLE;DE; ALBERDI ( PARTICULAR );ALBERDI (PARTICULAR);6;1;5;2;14
CROTON;16900;CALLE;DEL; CROTON;CROTÓN;6;1;5;2;14
ALBERGUE JUVENIL;905194;CARRETERA;DEL; ALBERGUE JUVENIL;ALBERGUE JUVENIL;9;;;2;4
ALBERIQUE;17100;CALLE;DE; ALBERIQUE;ALBERIQUE;20;;;10;20
ALBERIQUE;17100;CALLE;DE; ALBERIQUE;ALBERIQUE;20;;;10;20
ALBERT CAMUS;31002035;CALLE;DE; ALBERT CAMUS;ALBERT CAMUS;11;;;2;6
ALBERTO AGUILERA;17200;CALLE;DE; ALBERTO AGUILERA;ALBERTO AGUILERA;1;1;39;;
ALBERTO AGUILERA;17200;CALLE;DE; ALBERTO AGUILERA;ALBERTO AGUILERA;7;;;2;74
ALBERTO AGUILERA;17200;CALLE;DE; ALBERTO AGUILERA;ALBERTO AGUILERA;7;;;2;74
ALBERTO ALCOCER;17300;AVENIDA;DE; ALBERTO ALCOCER;ALBERTO ALCOCER;5;1;49;2;48
ALBERTO ALCOCER;17300;AVENIDA;DE; ALBERTO ALCOCER;ALBERTO ALCOCER;5;1;49;2;48
ALBERTO BOSCH;17400;CALLE;DE; ALBERTO BOSCH;ALBERTO BOSCH;3;1;19;2;16
ALBERTO DE PALACIO;31001914;CALLE;DE; ALBERTO DE PALACIO;ALBERTO DE PALACIO;16;;;;
ALBERTO INSUA;17550;CALLE;DE; ALBERTO INSUA;ALBERTO INSÚA;8;1;13;4;22
ALBERTO LEON PERALTA;17600;CALLE;DE; ALBERTO LEON PERALTA;ALBERTO LEÓN PERALTA;5;1;31;2;28
ALBERTO MARCOS;17700;CALLE;DE; ALBERTO MARCOS;ALBERTO MARCOS;18;1;3;2;6
ALBERTO MARTIN ARTAJO;17800;CALLE;DE; ALBERTO MARTIN ARTAJO;ALBERTO MARTÍN ARTAJO;4;3;3;2;8
ALBERTO PALACIOS;17900;CALLE;DE; ALBERTO PALACIOS;ALBERTO PALACIOS;17;1;37;2;22
ALBERTO PALACIOS;18100;PASEO;DE; ALBERTO PALACIOS;ALBERTO PALACIOS;17;1;83;2;86
ALBERTO SANCHEZ;31000678;CALLE;DE; ALBERTO SANCHEZ;ALBERTO SÁNCHEZ;19;19;31;14;30
ALBINO HERNANDEZ LAZARO;18200;CALLE;DE; ALBINO HERNANDEZ LAZARO;ALBINO HERNÁNDEZ LÁZARO;17;1;37;2;42
ALBOREA;18300;CALLE;DE; ALBOREA;ALBOREA;11;1;7;2;6
ALBOX;18500;CALLE;DE; ALBOX;ALBOX;11;1;35;2;22
ALBUFERA;18600;AVENIDA;DE LA; ALBUFERA;ALBUFERA;13;1;465;6;438
ALBUFERA;18600;AVENIDA;DE LA; ALBUFERA;ALBUFERA;13;1;465;6;438
ALBUFERA;18600;AVENIDA;DE LA; ALBUFERA;ALBUFERA;13;1;465;6;438
ALBUFERA;18600;AVENIDA;DE LA; ALBUFERA;ALBUFERA;13;1;465;6;438
ALBUFERA;18600;AVENIDA;DE LA; ALBUFERA;ALBUFERA;13;1;465;6;438
ALBUÑUELAS;18750;CALLE;DE; ALBUÑUELAS;ALBUÑUELAS;12;11;15;2;38
ALBURQUERQUE;18800;CALLE;DE; ALBURQUERQUE;ALBURQUERQUE;7;1;33;2;18
ALCACER TEJARES;18850;CALLE;DE; ALCACER TEJARES;ALCÁCER TEJARES;19;7;13;2;6
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;1;1;51;2;48
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;1;1;51;2;48
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;1;1;51;2;48
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;3;;;50;60
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;4;53;237;62;206
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;4;53;237;62;206
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;4;53;237;62;206
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;4;53;237;62;206
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;15;249;443;220;412
ALCALA;18900;CALLE;DE; ALCALA;ALCALÁ;15;249;443;220;412
